row_index,parameter_profile,case_id,v_alpha_raw,v_beta_raw,vdc_raw,source_sector,oracle_sector,sector_match,sector_exception,source_t1_norm,oracle_t1_norm,t1_error,source_t2_norm,oracle_t2_norm,t2_error,source_duty_u_norm,oracle_duty_u_norm,duty_u_error,source_duty_v_norm,oracle_duty_v_norm,duty_v_error,source_duty_w_norm,oracle_duty_w_norm,duty_w_error
58,real_commissioning,edge_-1_-1.732_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
59,real_commissioning,edge_-1_-1.732,-71475,-123795,1572864,6,6,1,0,0.136324126041667,0.1363239097408950328826904296875,2.163007719671173095703125E-7,-0.00000399895833333441,-0.0000038337893784046173095703125,1.651689549297926904296875E-7,0.5681640625,0.56816387176513671875,1.9073486328125E-7,0.568160063541667,0.56816005706787109375,6.47379590625E-9,0.431839936458333,0.43183994293212890625,6.47379590625E-9
60,real_commissioning,edge_1_-1.732_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
61,real_commissioning,edge_1_-1.732_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
62,real_commissioning,edge_1_-1.732,71475,-123795,1572864,2,6,0,1,0.00000399895833333441,-0.0000038337893784046173095703125,0.0000078327477117390273095703125,0.136327997760417,0.1363239097408950328826904296875,0.0000040880195219671173095703125,0.431834001640625,0.43183612823486328125,0.00000212659423828125,0.568165998359375,0.56816005706787109375,0.00000594129150390625,0.431838000598958,0.43183994293212890625,0.00000194233317090625
63,real_commissioning,feedforward_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
64,real_commissioning,feedforward_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
65,real_commissioning,feedforward,-125141,480409,1572864,1,1,1,0,0.383850657378576,0.3838511747308075428009033203125,5.173522315428009033203125E-7,0.145163685731697,0.1451636594720184803009033203125,2.62596785196990966796875E-8,0.619343485823439,0.61934375762939453125,2.7180595553125E-7,0.235492828444864,0.23549258708953857421875,2.4135532542578125E-7,0.764507171555136,0.76450741291046142578125,2.4135532542578125E-7
66,real_commissioning,sat_start_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
67,real_commissioning,sat_start_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
