# theta_u16 sin_raw cos_raw
1278 7997 65046
1279 7997 65046
1280 8022 65043
1281 8022 65043
1282 8022 65043
1283 8022 65043
1284 8047 65040
1285 8047 65040
1286 8047 65040
1287 8047 65040
1288 8072 65037
1289 8072 65037
1290 8072 65037
1291 8072 65037
1292 8097 65034
1293 8097 65034
1294 8097 65034
1295 8097 65034
1296 8122 65031
1297 8122 65031
1298 8122 65031
1299 8122 65031
1300 8147 65028
1301 8147 65028
1302 8147 65028
1303 8147 65028
1304 8172 65025
1305 8172 65025
1306 8172 65025
1307 8172 65025
1308 8197 65021
1309 8197 65021
1310 8197 65021
1311 8197 65021
1312 8222 65018
1313 8222 65018
1314 8222 65018
1315 8222 65018
1316 8247 65015
1317 8247 65015
1318 8247 65015
1319 8247 65015
1320 8272 65012
1321 8272 65012
1322 8272 65012
1323 8272 65012
1324 8297 65009
1325 8297 65009
1326 8297 65009
1327 8297 65009
1328 8322 65006
1329 8322 65006
1330 8322 65006
1331 8322 65006
1332 8346 65002
1333 8346 65002
1334 8346 65002
1335 8346 65002
1336 8371 64999
1337 8371 64999
1338 8371 64999
1339 8371 64999
1340 8396 64996
1341 8396 64996
1342 8396 64996
1343 8396 64996
1344 8421 64993
1345 8421 64993
1346 8421 64993
1347 8421 64993
1348 8446 64989
1349 8446 64989
1350 8446 64989
1351 8446 64989
1352 8471 64986
1353 8471 64986
1354 8471 64986
1355 8471 64986
1356 8496 64983
1357 8496 64983
1358 8496 64983
1359 8496 64983
1360 8521 64980
1361 8521 64980
1362 8521 64980
1363 8521 64980
1364 8546 64976
1365 8546 64976
1366 8546 64976
1367 8546 64976
1368 8571 64973
1369 8571 64973
1370 8571 64973
1371 8571 64973
1372 8596 64970
1373 8596 64970
1374 8596 64970
1375 8596 64970
1376 8621 64967
1377 8621 64967
1378 8621 64967
1379 8621 64967
1380 8646 64963
1381 8646 64963
1382 8646 64963
1383 8646 64963
1384 8670 64960
1385 8670 64960
1386 8670 64960
1387 8670 64960
1388 8695 64957
1389 8695 64957
1390 8695 64957
1391 8695 64957
1392 8720 64953
1393 8720 64953
1394 8720 64953
1395 8720 64953
1396 8745 64950
1397 8745 64950
1398 8745 64950
